,summoner_name,league_points,puuid
135,hunterl565,175,4X8uQyFAMOAICuleToJJkCzP_2oVKOGSGZYj8sLYfJx3_c5yCyvRH9iAtyZudu06gBszbqCQhMvjbA
136,Catybear,175,PBYSqbMg7U46NLfU6GmeqoVrWjQZcWBUqRBML9w5fvvrENOM1owwqCDaYV1vPh1aqWRgC1jRaSmtww
137,Souless,175,5tGp8cQQuIbxXYVO_5mn5vuE98LBsFfyi4AQDZ_tuJY8phzZRWBVbWEXmKE4SSiIN1t-4py7B11EWA
138,themackerel,174,etGw-jL_wr3JA0szhU_E7jwNNkTmF3lpfR21_NypWNt6jkYwc1p9ujn4oNtuIZ3w_faOidWuL3eQPQ
139,huya yueyue,172,JE7tzKng_TsrLc5fhmB5G3VzHzi1xXY2ylirhM1lgd1RxBhEpO6w7hlL-g86xsWg1WDAqQfrKdLi6Q
140,DannySaysNo,172,PkGjEuVuAj2bTf1bkCFN1nkJCY8TJxwiBS1rncGY9JbhA5NkCAWulBUUUMdqxksjn0G_eBp8fkJxsg
141,kpopfan7,172,iVm1hpjNOpKYxmJnNltsAoAlkq1e-09xajDAY682H005gjAsj7CsZmfFhXsO5U453b717gOlwVwx1w
142,wolves save me,172,ObprORZr9fz03f7EWCp-82ySTqB20d1vnwsQXwD5_Kc8yA4XzHATETgJFTzsyTiQBwMLyYlgC4AvWA
143,Little Yue Liang,171,N-YmL87KG8xmxCelEvEmw-G3Fv52NluSJXyJ51tyO8Cudrcn-4H3E2G3MCQFkCX1Hgr2JKhihGkktw
144,Me Predator,169,hZyFGdlt3_pG9O_R6onCHqgZbGgat7q7H1dcON2s2pnAa6B6Y2QPZAsRNnOFo_ktVbDQHotoCdb5gQ
145,TingaTaco,169,aWvani9hFaZq6vts39KNrzExdMzAjM6gyt1JVCldPy9NosO1FvLSlS28_1RAO0E7T865tHXCcrZBfw
146,Boosted Alistar,168,3zsU6HdMWHyrAGWAxC1goPE9OeJFrwShSlJHdeMIfwYdLU4Jt57-AYr5A-Mq0hlZ5IXngQ3IpIRvAw
147,Marquez,168,RWXNp7kMIorYdJy6MmijAXQ-FG--ODkJcFCziecsC8W2Svj57E15gxIHcmJyPaZzGjeemwBg_LLF8A
148,Kyouko Hori,167,HbYsPpRS3X2RaQ8n5Sm9n2gKU80f927PzBk_krw4kdyRG6vys-m5-8QCv7J-PHPkdlWGeW_srKmJ_w
149,Jqua,166,nlM8tRgxm8Xk8MFCKsWlXSRC_GL3EE0xme1c6jAv2OSGVukW9jKwNwhX7F0LSgW8rD8GAINesM5BPg
150,Moonpaw NA,165,lFquKEZ1xy2tIaVPPIdQeONRAgWJL7dbmjl1xoC2BvnbgJONXN4ytil9tSPpRd_uuUX9P6l7s1zioA
151,Dios12138,164,btaPZ2mT9KgyT5LqCIeel4gCplCBU1J1N40myV5I2TszkS2kFh1kuFBPOMwAtyyUmWmb-7NLLtXb8Q
152,BlakeAustin,164,HxnLIWHndGuZevays_oWEBvxSSR6mbG_Ga7MRDY_4jS05Hdf33CXICzmRUInAv59TY7f8uIgXDEEcg
153,        N o c a,163,ccRowv9nNe3aNSobeTQR4QgArEpUuwHLu9ZxsjQ6Vo-rrWmODvg9ynUb02BeTSFYfF_pYoo7wJIPwA
154,piggy2448,163,3FTa65xsqr8S-G-pDZamDGe2r0A_aufwzLm-zjDveF-V7AK8e1lGGwAs2gs8BVvnlksYwbiT0qbWdg
155,sb mouse,161,hwRGfScOZ3sXlD8kzgpGm68IUMPwC8WydDCubnmmVdCG7Y7I5HGE6YU1s9r4-LlI5-1TQ0cNlzwOig
156,Waakzaamheid,160,I1G6f4SA-5mgYHwK8nbvmbzncG3tKW9uTe2IAhBRbSo7bx6jf4XGJqnCd8RnA57UhFps9fBIadd5bg
157,chainpullz,156,xrV7KLYdmME1_r0s6DFsSEToKBn1nWudCGNAgKEx2PUFB9uNv1EwVV5fvCGSR3kX-89u5uxcUb30Aw
158,the OCE special,155,oQyPRL6sWc9-gNIqC3RjHFTTyH_t854WETjRyFYfMoNp-4GyFPqyvccPRx0UbLyf33DplOUFLqekkQ
